pnrid,lat,lon,lotName,location,city,zipcode,countyID,county,spaces,accessibleSpaces,bikeRackSpaces,bikeLockerSpaces,electricVehicleSpaces,carSharing,transitService,availability,timeLimit,restroom,benches,shelter,indoorWaitingArea,trashCan,lighting,securityCameras,sidewalks,pnrSignage,lotSurface,propertyOwner,localExpert
36,44.003999,-123.083155,Church of the Harvest,4646 Fox Hollow Rd.,Eugene,97405,41039,Lane,20,,,,,,"LTD 24, 73","M-F, 6a-6p",12 Hours,no,yes,no,no,no,yes,no,yes,yes,Asphalt,Church of the Harvest,point2point Solutions
37,44.123,-123.140876,St. Matthews Episcopal Church,4110 River Rd.,Eugene,97404,41039,Lane,20,,,,,,LTD 51,"M-F, 6a-6p",12 Hours,no,no,no,no,no,yes,no,yes,yes,Asphalt,St Matthews,point2point Solutions
38,44.066701,-123.106294,Valley River Center ,VRC Parking Lot - Behind Regal Cinema,Eugene,97401,41039,Lane,25,,60,,,,"LTD 66, 67, 96","M-F, 6a-6p",12 Hours,Yes,yes,yes,no,yes,yes,no,yes,yes,Asphalt,Valley River Center,point2point Solutions
39,44.040401,-123.13058,Willamette Christian Center,2500 West 18th Ave.,Eugene,97405,41039,Lane,26,,,,,,"LTD 36, 78","M-F, 6a-6p",12 Hours,no,yes,yes,no,yes,yes,No,yes,yes,Asphalt,Willamette Christian Center,point2point Solutions
40,44.070521,-123.069251,Westminster Presbyterian Church,777 Coburg Road,Eugene,97401,41039,Lane,33,,,,,,"LTD 12, 66, 67, 96","M-F, 6a-6p",12 Hours,no,no,no,no,no,Yes,no,yes,yes,Asphalt,Westminster Presbyterian Church,point2point Solutions
41,44.04892,-123.14112,Seneca Station,West 11th Ave & Seneca Rd.,Eugene,97402,41039,Lane,43,2,,,,,"LTD 32, 41, 43, 78, 93","M-F, 6a-12a",18 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Asphalt,LTD,point2point Solutions
42,44.026652,-123.083958,Amazon Station,29th Ave. & Amazon Parkway,Eugene,97405,41039,Lane,44,2,4,6,,,"LTD 73, 82, 92","M-F, 6a-12a",18 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Asphalt,City of Eugene,point2point Solutions
43,44.096375,-123.127688,River Road Station,River Rd. & Beltline,Eugene,97404,41039,Lane,150,7,10,4,,,"LTD 51, 52, 55","M-F, 6a-12a",18 Hours,no,yes,yes,no,yes,yes,no,yes,yes,Asphalt,LTD,point2point Solutions
44,45.53298,-122.454532,Reynolds School District Park & Ride,1204 NE 201st Ave,Fairview,97060,41051,Multnomah,35,,,,,,TriMet 77,Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,No,Asphalt,School District No 7 MCO,TriMet
45,42.435683,-123.30452,Grants Pass Fred Meyer,1101 Northeast Grants Pass Parkway,Grants Pass,97526,41033,Josephine ,7,,,,,,Josephine Co. Transit,24/7,24 hours,No,No,No,No,No,Yes,No,Yes,Yes,Asphalt,Fred Meyer,RVTD
46,45.521113,-122.474586,E 181st Ave Park & Ride,18324 E Burnside St,Gresham,97233,41051,Multnomah,241,7,,,,,"MAX Blue Line; TriMet 20, 25, 87",24/7,24 hours,No,No,No,No,No,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
47,45.505194,-122.436309,Gresham City Hall Park & Ride,1297 NW Eastman Pkwy,Gresham,97030,41051,Multnomah,292,8,8,8,,,"MAX Blue Line, Trimet 4, 21, 87",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
48,45.502481,-122.418418,Cleveland Ave Park & Ride,1200 NE 8th St,Gresham,97030,41051,Multnomah,385,7,5,4,,,MAX Blue Line,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
49,45.503296,-122.42551,Gresham Parking Garage,523-575 NE 8th St,Gresham,97030,41051,Multnomah,537,12,16,,,,"MAX Blue Line; TriMet 4, 9, 20, 21, 80, 81, 84, 87, SAM",24/7,24 hours,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Concrete,TriMet,TriMet
50,45.53069,-122.917722,Orenco Station/NW 231st Ave Park & Ride,NE Orenco Station Pkwy and Campus Ct,Hillsboro,97124,41067,Washington,125,6,6,26,,Zipcar,MAX Blue Line; TriMet 47,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
51,45.522704,-122.889097,Quatama/NW 205th Ave Park & Ride,325 NW 205th Ave,Hillsboro,97006,41067,Washington,310,8,6,22,,,MAX Blue Line,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,TriMet,TriMet
52,45.527633,-122.946483,Fair Complex/Hillsboro Airport Park & Ride,601 NE 34th Ave,Hillsboro,97124,41067,Washington,392,11,18,18,,,"MAX Blue Line; Trimet 46, 48",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
53,45.518645,-122.871392,Willow Creek/SW 185th Ave TC Park & Ride,375 SW 185th Ave,Hillsboro,97006,41067,Washington,600,16,10,14,,,"MAX Blue Line; TriMet 52, 59, 88; CCR",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,TriMet,TriMet
54,45.520344,-122.977999,Hillsboro Intermodal Transit Facility,775 SE Baseline St,Hillsboro,97123,41067,Washington,85,2,,,2,,"MAX Blue Line; Trimet 47, 48, 57",24/7,24 hours,No,No,No,No,No,Yes,Yes,No,No,Concrete,City of Hillsboro,TriMet
55,45.521057,-122.990538,Hillsboro Parking Garage,110 SW Washington St,Hillsboro,97123,41067,Washington,254,10,10,8,,,MAX Blue Line; TriMet 57,24/7,24 hours,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Concrete,TriMet,TriMet
56,45.707405,-121.502279,Hwy 30 & Hwy 35 Junction,423 Oregon 35,Hood River,97031,41027,Hood River,27,2,,,,,CAT Dial-A-Ride,24/7,,No,No,No,No,No,No,No,No,No,Asphalt,ODOT,MCEDD
57,45.712222,-121.533967,CAT Park & Ride,301 N. Wasco Court,Hood River,97031,41027,Hood River,44,2,2,8,,,"CAT Dial-A-Ride, Portland route",24/7,No camping,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Asphalt,CAT,MCEDD
58,42.315664,-122.969766,Jacksonville City Lot,340 West C St.,Jacksonville,97530,41029,Jackson,15,,,,,,RVTD 30,,No overnight,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Asphalt,,RVTD
59,44.222521,-123.208758,United Methodist Church (Junction City),750 W. 10th Ave - Junction City,Junction City,97448,41039,Lane,10,,,,,,LTD 95,"M-F, 6a-6p",12 Hours,no,no,no,no,no,yes,no,yes,yes,Asphalt,United Methodist Church,point2point Solutions
60,44.220054,-123.203691,Downtown Junction City,W 7th Ave & Holly St.,Junction City,97448,41039,Lane,40,,,,,,LTD 95,"M-F, 6a-6p",12 Hours,no,no,no,no,no,yes,no,yes,yes,Asphalt,City of Junction City,point2point Solutions
61,45.006616,-123.002126,Keizer Transit Center,5860 Keizer Station Blvd. N.E,Keizer,97303,41047,Marion,55,3,30,,5,,"Cherritos 11, 15, 18, 19",24/7,24 hours,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,Salem Keizer Transit,Cherriots Rideshare
62,42.195635,-121.699237,Klamath Falls Community College,Hwy 39 & Hwy 140,Klamath Falls,97603,41035,Klamath,12,,,,,,,,,,,,,,,,,No,Paved,ODOT,Commute Options
63,43.703256,-121.477528,La Pine/Wickiup Jt Park & Ride,17000 Burgess Rd,La Pine ,97739,41017,Deschutes,25,2,,,,,"CET 3, Dial-A-Ride",24/7,24 hours,No,Yes,Yes,No,No,Yes,No,No,Yes,Asphalt,Deschutes County,Commute Options
64,45.418855,-122.712239,Hope Church Park & Ride,14790 SW Boones Ferry Rd,Lake Oswego,97035,41005,Clackamas,12,,,,,,"TriMet 37, 38",Monday-Friday,12 hours,No,No,No,No,No,No,,Yes,No,Asphalt,Hope Community Church Lake Oswego,TriMet
65,45.419855,-122.676925,Christ Church Parish Park & Ride,1060 Chandler Rd,Lake Oswego,97034,41005,Clackamas,30,,,,,,"TriMet 37, 78",Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,Yes,Asphalt,Christ Church Parish,TriMet
66,45.407157,-122.68106,Lake Oswego United Methodist Church Park & Ride,1855 South Shore Blvd,Lake Oswego,97034,41005,Clackamas,34,,,,,,TriMet 36,Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Lake Oswego United Methodist Church,TriMet
67,42.324758,-122.872197,RVTD Front Street Station,200 South Front St.,Medford,97501,41029,Jackson,14,2,15,1,,,RVTD all routes,24/7,24 hours,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Asphalt,RVTD,RVTD
68,45.428007,-122.635057,Milwaukie Elks Lodge Park & Ride,13121 SE McLoughlin Blvd,Milwaukie,97222,41005,Clackamas,20,,,,,,TriMet 33,Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,No,Asphalt,Miwaukie Lodge #3032,TriMet
69,45.439587,-122.637516,Milwaukie Presbyterian Church Park & Ride,2416 SE Lake Rd,Milwaukie,97222,41005,Clackamas,30,3,,,,,TriMet 32,Monday-Friday,24 hours,No,Yes,No,No,No,Yes,,Yes,Yes,Asphalt,The Presbytery of Portland,TriMet
70,45.452052,-122.640144,Milwaukie Park & Ride,9600 SE Main St,Milwaukie,97222,41005,Clackamas,329,8,,4,,,"TriMet 31, 32, 33, 99",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
71,43.03,-123.3,I-5 Exit 108 NB Onramp,"I-5 NB Onramp (Exit 108), Milepost 108.74",Myrtle Creek,97457,41019,Douglas ,12,,,,,,,,,,,,,,,,,No,Gravel,ODOT,RVTD
72,45.024084,-117.927772,North Powder I-84,"Old Oregon Trail Hwy, North Powder, OR 97867",North Powder,97867,41061,Union,2,,,,,,,,,,,,,,,,,No,Gravel,ODOT,Community Connection
73,45.337215,-122.604293,First Presbyterian Church Park & Ride,1321 Linn Ave at Williams St,Oregon City,97045,41005,Clackamas,21,,,,,,TriMet 33,Monday-Friday,24 hours,No,Yes,Yes,No,No,No,,Yes,Yes,Asphalt,First Presbyterian Church,TriMet
74,45.321715,-122.575295,Clackamas Community College Park & Ride,19600 S Molalla Ave,Oregon City,97045,41005,Clackamas,40,,,,,,"TriMet 32, 33, 99",24/7,24 hours,No,Yes,Yes,No,Yes,Yes,,Yes,No,Asphalt,Clackamas Community College,TriMet
75,44.539055,-123.371782,Applegate and 11th,1214 Corvallis Newport Hwy,Philomath,97370,41003,Benton,20,2,6,,,,Philomath Connection,24/7,,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Asphalt,City of Philomath,Cascades West Rideshare
76,44.587739,-123.429873,US20 @ Kings Valley Hwy,Hwy 20 & Hwy 223,Philomath,97370,41003,Benton ,10,,,,,,,,,,,,,,,,,Yes,Gravel,ODOT,Cascades West Rideshare
77,45.520953,-122.579343,The Columba Center,8147 SE Pine St,Portland,97215,41051,Multnomah,12,,,,,,"TriMet 15, 20, 72",Monday-Friday,24 hours,NO,No,No,No,No,Yes,,Yes,Yes,Asphalt,The Parish of Saints Peter and Paul,TriMet
78,45.547203,-122.590846,Rose City Church of the Nazarene Park & Ride,7016 NE Sandy Blvd,Portland,97213,41051,Multnomah,14,,,,,,"TriMet 12, 24",Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,Yes,Asphalt,Rose City Church of the Nazarene,TriMet
79,45.525683,-122.802533,Cedar Mill Bible Church Park & Ride,12208 NW Cornell Rd,Portland,97229,41051,Multnomah,16,,,,,,"TriMet 48, 50, 62",Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Cedar Mill Bible Church,TriMet
80,45.527387,-122.572344,Central Bible Church Park & Ride,8815 NE Glisan St,Portland,97220,41051,Multnomah,20,,,,,car2go,TriMet 19,Monday-Friday,24 hours,No,Yes,Yes,No,No,Yes,,Yes,No,Asphalt,Central Bible Church,TriMet
81,45.576973,-122.711802,University Park Baptist Church,4340 N Lombard St,Portland,97203,41051,Multnomah,22,,,,,,"TriMet 44, 75",Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,University Park Baptist Church,TriMet
82,45.48977,-122.592347,Kern Park Christian Church Park & Ride,6828 SE Holgate Blvd,Portland,97206,41051,Multnomah,24,,,,,,TriMet 17,Monday-Friday,24 hours,No,No,No,No,No,No,,Yes,Yes,Asphalt,Kern Park Christian Church,TriMet
83,45.480718,-122.647902,Tenth Church of Christ Scientist Park & Ride,5736 SE 17th Ave,Portland,97202,41051,Multnomah,28,,,,,,"Trimet 19, 70",Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Tenth Church of Christ Scientist,TriMet
84,45.47641,-122.715299,Eleventh Church of Christ Scientist Park & Ride,3643 SW Vermont,Portland,97219,41051,Multnomah,35,,,,,,"TriMet 1, 45, 64",Monday-Friday,24 hours,No,No,No,No,No,Yes,,No,No,Asphalt,Eleventh Curch of Christ Scientist,TriMet
85,45.508526,-122.79622,Cedar Hills United Church of Christ Park & Ride,11695 SW Park Way,Portland,97225,41051,Multnomah,46,3,,,,,"TriMet 20, 59",Monday-Friday,24 hours,No,No,No,No,No,Yes,,Yes,Yes,Asphalt,Cedar Hills United Church of Christ,TriMet
86,45.48941,-122.760408,Valley Community United Presbyterian Church,8060 SW Brentwood St,Portland,97225,41051,Multnomah,63,,,,,,"TriMet 54, 55, 61",Monday-Friday,24 hours,No,Yes,Yes,,No,Yes,,Yes,Yes,Asphalt,Valley Community Presbyterian Church Inc,TriMet
87,45.596036,-122.686129,Delta Park/Vanport Park & Ride,1940 N Victory Blvd,Portland,97217,41051,Multnomah,124,8,7,8,,,MAX Yellow Line; C-Tran,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,TriMet
88,45.490985,-122.566681,SE Holgate Blvd Park & Ride,9669 SE Holgate Blvd,Portland,97266,41051,Multnomah,125,5,5,8,,,MAX Green Line; TriMet 17,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,TriMet
89,45.488538,-122.710994,St. Andrews United Presbyterian Church,3228 SW Sunset Blvd,Portland,97201,41051,Multnomah,140,,,,,,"TriMet 51, 55",Monday-Friday,24 hours,No,No,No,No,No,No,,No,Yes,Asphalt,St Andrew's Pres. Church (USA) c/o Presbytery of the Cascades,TriMet
90,45.558867,-122.563495,Parkrose/Sumner TC Park & Ride,9525 NE Sandy Blvd,Portland,97220,41051,Multnomah,199,6,5,8,,,"MAX Red Line; TriMet 12, 21, 71; C-TRAN",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,TriMet
91,45.605287,-122.68589,Expo Center Park & Ride,2060 N Marine Dr at Expo Center,Portland,97217,41051,Multnomah,300,9,7,8,,,"MAX Yellow Line, TriMet 11",Monday-Friday,24 hours,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Asphalt,Metro,TriMet
92,45.454237,-122.717344,Barbur Blvd TC Park & Ride,9712 SW Barbur Blvd,Portland,97219,41051,Multnomah,370,4,4,8,,,"TriMet 12, 43, 44, 64, 94; SMART 201",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,ODOT,TriMet
93,45.49476,-122.566438,SE Powell Blvd Park & Ride,3618 SE 92nd Ave,Portland,97266,41051,Multnomah,391,9,,10,,,MAX Green Line; Trimet 9,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,TriMet
94,45.514083,-122.564817,SE Main St Park & Ride,1119 SE 96th Ave,Portland,97216,41051,Multnomah,426,9,,10,,,MAX Green Line; TriMet 15,24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asphalt,ODOT,TriMet
95,45.521811,-122.536556,E 122nd/Menlo Park Park & Ride,12202 E Burnside St,Portland,97233,41051,Multnomah,434,15,7,8,,,"MAX Blue Line; TriMet 20, 71",24/7,24 hours,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Asphalt,TriMet,TriMet
96,45.531677,-122.563051,Gateway/NE 99th Ave TC Park & Ride,1250 NE 99th Ave,Portland,97220,41051,Multnomah,690,13,8,12,,Zipcar,"MAX Blue, Red, and Green Lines; TriMet 15, 19, 22, 23, 24, 25, 87",24/7,24 hours,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Concrete,TriMet,TriMet
97,44.304165,-120.862312,Prineville Park & Ride,305 NW Madras Highway,Prineville,97754,41013,Crook,12,,,,,,,,,,,,,,,,,,,Les Schwab,Commute Options
98,44.925341,-123.227291,Rickreal Park & Ride,520 S Pacific Highway West,Rickreall,97371,41053,Polk,40,,,,,,CARTS ,24/7,24 hours,No,No,No,No,Yes,Yes,No,Yes,Yes,Asphalt,Polk County,Cherriots Rideshare
99,44.927603,-122.973728,Christ the Good Shepherd Lutheran Church Park & Ride,4440 State Street,Salem,97301,41047,Marion,15,,,,,,Cherriots 16,"Business Hrs, M-F",10 hours,No,No,Yes,No,Yes,Yes,No,Yes,No,Asphalt,Christ the Good Shepherd Lutheran Church,Cherriots Rideshare
100,44.928386,-122.979417,Grace Baptist Church Park & Ride,4197 State St,Salem,97301,41047,Marion,20,,,,,,Cherriots 16,"Business Hrs, M-F",10 hours,No,Yes,Yes,No,Yes,Yes,No,No,No,Asphalt,Grace Baptist Church,Cherriots Rideshare
101,44.968498,-123.030004,Keizer Fred Meyer Park & Ride,2855 Broadway St NE,Salem,97301,41047,Marion,20,,,,,,"Cherriots 9, 19",24/7,24 hours,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Asphalt,Fred Meyer,Cherriots Rideshare
102,44.906291,-123.041446,Fred Meyer South Park & Ride,3450 Commercial Street SE,Salem,97302,41047,Marion,30,,,,,,"Cherriots 1, 6, 8",24/7,24 hours,Yes,No,Yes,No,Yes,Yes,,Yes,No,Asphalt,Fred Meyer,Cherriots Rideshare
